pair_id,label,event_a_title,event_a_start,event_a_lineup,event_a_price,event_a_source,event_b_title,event_b_start,event_b_lineup,event_b_price,event_b_source,venue,party_night,event_a_url,event_b_url
0bbc69,DISTINCT,EDMBoat.com - #1 EDM HOUSE SUNSET BOAT 2026,2026-08-22 18:00,,,ra,HAUS ON HUDSON: SUNSET YACHT PARTY,2026-08-22 17:30,,$34.77,dice,Skyport Marina,2026-08-22,https://ra.co/events/2434487,https://dice.fm/event/haus-on-hudson-sunset-yacht-party-22nd-aug-skyport-marina-new-york-tickets
e8d5ce,DISTINCT,"Jawani 4eva: Aku, Arjxn, Eshie, jakari wing, Rajuju",2026-08-08 16:00,Aku; Arjxn; Eshie; jakari wing; Rajuju,,ra,"Cuffing Season: OLEA, Esentrik, Arthur Tan, Okay Ivy, SINZ, Blesst + Goldie Harris & Friends",2026-08-08 22:30,olea; eSenTRIK; Arthur Tan; Sinz; Goldie Harris; cuffing season,$46.66,dice,Elsewhere,2026-08-08,https://ra.co/events/2406281,https://dice.fm/event/cuffing-season-olea-esentrik-arthur-tan-okay-ivy-sinz-blesst-goldie-harris-friends-8th-aug-elsewhere-brooklyn-new-york-tickets
20834d,SAME,The Ornate Project: Infected Mushroom (Live Band + DJ Set) + Blastoyz,2026-08-01 22:00,Infected Mushroom; Bruce Wayne (US),,ra,Infected Mushroom [Live] / Blastoyz,2026-08-01 22:00,Infected Mushroom; Blastoyz; Bruce Wayne (US),$45.32,dice,Park Slope Warehouse,2026-08-01,https://ra.co/events/2444989,https://dice.fm/event/infected-mushroom-live-blastoyz-1st-aug-park-slope-brooklyn-warehouse-new-york-city-tickets
f1da12,DISTINCT,"Space Bunz, Pook, 5LAPHOUSE",2026-07-30 19:00,5LAPHOUSE,,ra,"Tromac, JaySwann, dj until",2026-07-30 22:00,Tromac; DJ Unt.il,$0.00,dice,Jupiter Disco,2026-07-30,https://ra.co/events/2486758,https://dice.fm/event/tromac-jayswann-dj-until-30th-jul-jupiter-disco-new-york-city-tickets
2f5240,DISTINCT,EDMBoat.com - #1 EDM HOUSE SUNSET BOAT 2026,2026-08-15 18:00,,,ra,HAUS ON HUDSON: SUNSET YACHT PARTY,2026-08-15 17:30,,$34.77,dice,Skyport Marina,2026-08-15,https://ra.co/events/2434486,https://dice.fm/event/haus-on-hudson-sunset-yacht-party-15th-aug-skyport-marina-new-york-tickets
bf5315,SAME,"Top Secret Grand Prix Record Release Party: Spiñorita, DJ Shannon, Cosmo",2026-08-07 22:00,Spiñorita; DJ Shannon; Cosmo (NY),,ra,"Spiñorita, DJ Shannon, Cosmo",2026-08-07 22:00,Spiñorita; DJ Shannon; Cosmo,$11.33,dice,Jupiter Disco,2026-08-07,https://ra.co/events/2492805,https://dice.fm/event/spiorita-dj-shannon-cosmo-7th-aug-jupiter-disco-new-york-city-tickets
70e712,SAME,"Continuum (Main Room Event, Free with RSVP)",2026-07-30 21:00,nextdimensional; Touch Base; Choo Choo; R-DNA; Alex Hell-n,,ra,"Continuum (Main Room Event, Free w/ RSVP)",2026-07-30 21:00,nextdimensional; Touch Base,$0.00,dice,SILO,2026-07-30,https://ra.co/events/2480009,https://dice.fm/event/continuum-main-room-event-free-w-rsvp-30th-jul-silo-brooklyn-brooklyn-tickets
f97f6f,DISTINCT,Sunday Afterglow (skate),2026-08-09 12:00,,$13.39,dice,Sunday Skate Club: Dominican Day feat. Charlie Chimi (skate all night),2026-08-09 20:00,,,ra,Xanadu,2026-08-09,https://dice.fm/event/sunday-afterglow-skate-9th-aug-xanadu-new-york-city-tickets,https://ra.co/events/2499935
372485,DISTINCT,"Sunday Skate Club feat. Love Games with Lauren Murada, Finn Jones, Party Dad,",2026-08-23 20:00,Lauren Murada; Finn Jones; Party Dad; Andrew Lenox,,ra,Sunday Afterglow (skate),2026-08-23 12:00,,$13.39,dice,Xanadu,2026-08-23,https://ra.co/events/2484916,https://dice.fm/event/sunday-afterglow-skate-23rd-aug-xanadu-new-york-city-tickets
9fc385,SAME,Music for the Masses,2026-08-22 23:00,,,ra,Music For The Masses: Dark 80s New Wave Nite,2026-08-22 23:00,,$11.33,dice,TV EYE,2026-08-22,https://ra.co/events/2497124,https://dice.fm/event/music-for-the-masses-dark-80s-new-wave-nite-22nd-aug-tv-eye-new-york-city-tickets
e18a12,DISTINCT,Sunset Latin & Reggaeton Yacht Party - Avalon Yacht - August 1,2026-08-01 17:30,,,ra,SATURDAY MIDNIGHT ON THE HUDSON 08/01,2026-08-01 22:30,,$23.18,dice,Skyport Marina,2026-08-01,https://ra.co/events/2499828,https://dice.fm/event/saturday-midnight-on-the-hudson-0801-1st-aug-skyport-marina-new-york-tickets
8046c6,SAME,Cécille Records with Nick Curly & Guests,2026-08-02 14:00,Nick Curly; Harry Romero; Andrew Azara; Aazure,,ra,"Cécille Records w. Nick Curly, Harry Romero, Andrew Azara",2026-08-02 14:00,Nick Curly; Harry Romero; Andrew Azara,$15.23,dice,Superior Ingredients,2026-08-02,https://ra.co/events/2455148,https://dice.fm/event/ccille-records-w-nick-curly-harry-romero-andrew-azara-2nd-aug-the-roof-at-superior-ingredients-new-york-tickets
995d5c,SAME,Friends In High Places feat. LAVERN,2026-08-21 17:00,LAVERN,,ra,Lavern - Friends In High Places,2026-08-21 17:00,Lavern,$29.99,dice,Westlight Rooftop at The William Vale,2026-08-21,https://ra.co/events/2414971,https://dice.fm/event/lavern-friends-in-high-places-21st-aug-westlight-rooftop-at-the-william-vale-new-york-city-tickets
466b2a,SAME,Heat House: Summer Closing ft Naak,2026-08-15 23:00,WEMI; Ohlei,,ra,Heat House: Summer Closing ft. Naak / Wemi / Ohlei,2026-08-15 23:00,Naak MusiQ; Wemi,$17.00,dice,SILO,2026-08-15,https://ra.co/events/2485782,https://dice.fm/event/heat-house-summer-closing-ft-naak-wemi-ohlei-15th-aug-silo-brooklyn-brooklyn-tickets
90658f,SAME,Open Decks with STEEN and Monkey Wrench Techno,2026-08-19 19:00,STEEN; A DJ Named SNE,,ra,Open Decks w/ Steen and Monkey Wrench Techno,2026-08-19 19:00,,$0.00,dice,SILO,2026-08-19,https://ra.co/events/2476606,https://dice.fm/event/open-decks-w-steen-and-monkey-wrench-techno-19th-aug-silo-brooklyn-brooklyn-tickets
722197,DISTINCT,EDMBoat.com - #1 EDM HOUSE SUNSET BOAT 2026,2026-08-01 18:00,,,ra,HAUS ON HUDSON: SUNSET YACHT PARTY,2026-08-01 17:30,,$34.77,dice,Skyport Marina,2026-08-01,https://ra.co/events/2434477,https://dice.fm/event/haus-on-hudson-sunset-yacht-party-1st-aug-skyport-marina-new-york-tickets
f9d4fc,SAME,"Locklead, Lance Savali, DELACOUR, Amy Jor b2b Connie, Eavesdrop Records",2026-07-31 22:30,Locklead; DELACOUR; Amy Jor; Connie; ANDI WALL,,ra,"Locklead, Lance Savali, DELACOUR, Amy Jor b2b Connie, Eavesdrop Records",2026-07-31 22:30,Locklead; Lance Savali; Delacour,$46.66,dice,Elsewhere,2026-07-31,https://ra.co/events/2452449,https://dice.fm/event/locklead-lance-savali-delacour-amy-jor-b2b-connie-eavesdrop-records-31st-jul-elsewhere-brooklyn-new-york-tickets
869444,SAME,"Cuffing Season: OLEA, Esentrik, Arthur Tan, Okay Ivy, SINZ, Blesst + Goldie Harris & Friends",2026-08-08 22:30,OLEA; SINZ,,ra,"Cuffing Season: OLEA, Esentrik, Arthur Tan, Okay Ivy, SINZ, Blesst + Goldie Harris & Friends",2026-08-08 22:30,olea; eSenTRIK; Arthur Tan; Sinz; Goldie Harris; cuffing season,$46.66,dice,Elsewhere,2026-08-08,https://ra.co/events/2487597,https://dice.fm/event/cuffing-season-olea-esentrik-arthur-tan-okay-ivy-sinz-blesst-goldie-harris-friends-8th-aug-elsewhere-brooklyn-new-york-tickets
f03d0c,SAME,"Sunday Skate Club feat. Love Games with Lauren Murada, Finn Jones, Party Dad,",2026-08-23 20:00,Lauren Murada; Finn Jones; Party Dad; Andrew Lenox,,ra,"Sunday Skate Club ft. Love Games w/ Lauren Murada, Finn Jones, Party Dad, Club Flush: Andrew Lenox (skate all night)",2026-08-23 20:00,Lauren Murada; Finn Jones,$18.54,dice,Xanadu,2026-08-23,https://ra.co/events/2484916,https://dice.fm/event/sunday-skate-club-ft-love-games-w-lauren-murada-finn-jones-party-dad-club-flush-andrew-lenox-skate-all-night-23rd-aug-xanadu-new-york-city-tickets
ada3c8,SAME,"Uffie (DJ Set) + CFCF (DJ Set), Doecaine, CLUB VS TRANCE + more",2026-08-01 22:30,Uffie; Malcolm XL; Soo Intoit; Aster,,ra,"Uffie (DJ Set) + CFCF (DJ Set), Doecaine, CLUB VS TRANCE + more",2026-08-01 22:30,Uffie; CFCF; katmoji; Soo Intoit; Traps n Trees; Hideyoshi.V94,$46.66,dice,Elsewhere,2026-08-01,https://ra.co/events/2480966,https://dice.fm/event/uffie-dj-set-cfcf-dj-set-doecaine-club-vs-trance-more-1st-aug-elsewhere-brooklyn-new-york-tickets
8e53f3,SAME,"Truncate, Shanti / Tornado Wallace, CAMILLA / Patrick Russell",2026-08-07 23:00,Truncate; Tornado Wallace; Camilla; Patrick Russell,$21.63,dice,"Truncate, Shanti / Tornado Wallace, CAMILLA / Patrick Russell",2026-08-07 23:00,Truncate; Shanti; Tornado Wallace; CAMILLA; Patrick Russell,,ra,public records,2026-08-07,https://dice.fm/event/truncate-shanti-tornado-wallace-camilla-patrick-russell-7th-aug-public-records-new-york-tickets,https://ra.co/events/2477910
2e96d9,SAME,Reggaeton Throwbacks (21+),2026-08-08 23:00,,,ra,Reggaeton Throwbacks  (21+),2026-08-08 23:00,,$0.00,dice,The Meadows,2026-08-08,https://ra.co/events/2480447,https://dice.fm/event/reggaeton-throwbacks-21-8th-aug-the-meadows-new-york-tickets
ee4c57,DISTINCT,NYC #1 LATIN & REGGAETON Sunset Yacht Cruise Boat Party,2026-08-01 17:00,,,ra,SPHYNX Boat Party [House Music Night Sail],2026-08-01 22:00,,$32.45,dice,Pier 78 at Hudson River Park,2026-08-01,https://ra.co/events/2467530,https://dice.fm/event/sphynx-boat-party-house-music-night-sail-1st-aug-pier-78-at-hudson-river-park-new-york-city-tickets
33c901,SAME,House Matters: FATSYNC Boat Party,2026-08-14 22:00,,,ra,FATSYNC Boat Party,2026-08-14 22:00,,$39.66,dice,Pier 78 at Hudson River Park,2026-08-14,https://ra.co/events/2425391,https://dice.fm/event/fatsync-boat-party-14th-aug-pier-78-at-hudson-river-park-new-york-city-tickets
7c08fb,SAME,THE HUSTLE (70's DISCO NIGHT),2026-08-01 23:00,,,ra,The Hustle: 70s Disco Dance Party,2026-08-01 23:00,,$11.33,dice,Drom,2026-08-01,https://ra.co/events/2485795,https://dice.fm/event/the-hustle-70s-disco-dance-party-1st-aug-drom-new-york-tickets
edd328,SAME,JAKKED AT LYRA,2026-08-01 22:00,,,ra,Lyra Rooftop Party - 08.01,2026-08-01 22:00,,$22.65,dice,Magic Hour Rooftop Bar,2026-08-01,https://ra.co/events/2485727,https://dice.fm/event/lyra-rooftop-party-0801-1st-aug-magic-hour-rooftop-new-york-city-tickets
e1cf3e,SAME,"Tromac, JaySwann, dj unt.il",2026-07-30 19:00,Tromac; JaySwann; dj unt.il,,ra,"Tromac, JaySwann, dj until",2026-07-30 22:00,Tromac; DJ Unt.il,$0.00,dice,Jupiter Disco,2026-07-30,https://ra.co/events/2463648,https://dice.fm/event/tromac-jayswann-dj-until-30th-jul-jupiter-disco-new-york-city-tickets
5fda3c,SAME,Torren Foot / QLANK,2026-08-14 22:00,Torren Foot,,ra,Torren Foot / QLANK,2026-08-14 22:00,TORREN FØØT; Qlank,$17.00,dice,SILO,2026-08-14,https://ra.co/events/2443750,https://dice.fm/event/torren-foot-qlank-14th-aug-silo-brooklyn-brooklyn-tickets
61f601,SAME,"VHS F2F (Main Room Event, Free with RSVP)",2026-08-20 21:00,Maha Kuma; Sami; y2aura; NIJEII; SUDDEN DEATH; Sam Valle; SHRAY; STARLOTTE,,ra,VHS F2F (Main Room Event),2026-08-20 21:00,,$11.33,dice,SILO,2026-08-20,https://ra.co/events/2470976,https://dice.fm/event/vhs-f2f-main-room-event-20th-aug-silo-brooklyn-brooklyn-tickets
7f4159,DISTINCT,EDMBoat.com - #1 EDM HOUSE SUNSET BOAT 2026,2026-08-08 18:00,,,ra,Caribbean Vibes Weekly Party Yacht Cruises NYC,2026-08-08 23:00,,$28.33,dice,Skyport Marina,2026-08-08,https://ra.co/events/2434484,https://dice.fm/event/caribbean-vibes-weekly-party-yacht-cruises-nyc-8th-aug-skyport-marina-new-york-tickets
cbbc80,DISTINCT,Reggaeton Boat Party NYC - Avalon Yacht,2026-07-31 22:30,,,ra,FRIDAY MIDNIGHT ON THE HUDSON 07/31,2026-07-31 22:30,,$34.77,dice,Skyport Marina,2026-07-31,https://ra.co/events/2499589,https://dice.fm/event/friday-midnight-on-the-hudson-0731-31st-jul-skyport-marina-new-york-tickets
15f0f2,SAME,"DAYTIMERS NYC: SRI, mojamid, Prem, Swank, Krithi",2026-07-31 19:00,SRI (1); Swank (NYC); Krithi,,ra,"SRI, mojamid, Prem, Swank, Krithi",2026-07-31 19:00,Krithi,$11.33,dice,Jupiter Disco,2026-07-31,https://ra.co/events/2474377,https://dice.fm/event/sri-mojamid-prem-swank-krithi-31st-jul-jupiter-disco-new-york-city-tickets
