pair_id,outcome,score,threshold,title_similarity,lineup_jaccard,start_proximity,price_proximity
0bbc69,separate,0.3949,0.90,0.1356,unknown,1.0000,unknown
e8d5ce,separate,0.0231,0.80,0.0593,0.0000,0.0000,unknown
20834d,separate,0.6670,0.80,0.5246,0.6667,1.0000,unknown
f1da12,separate,0.0000,0.80,0.0000,0.0000,0.0000,unknown
2f5240,separate,0.3949,0.90,0.1356,unknown,1.0000,unknown
bf5315,separate,0.5444,0.80,0.4000,0.5000,1.0000,unknown
70e712,separate,0.6847,0.80,0.8750,0.4000,1.0000,unknown
f97f6f,separate,0.1569,0.90,0.2241,unknown,0.0000,unknown
372485,separate,0.1105,0.90,0.1579,unknown,0.0000,unknown
9fc385,separate,0.6333,0.90,0.4762,unknown,1.0000,unknown
e18a12,separate,0.0256,0.90,0.0366,unknown,0.0000,unknown
8046c6,separate,0.6667,0.80,0.4286,0.7500,1.0000,unknown
995d5c,merged-scored,1.0000,0.80,1.0000,1.0000,1.0000,unknown
466b2a,separate,0.6065,0.80,0.7500,0.3333,1.0000,unknown
90658f,merged-scored,0.9378,0.90,0.9111,unknown,1.0000,unknown
722197,separate,0.3949,0.90,0.1356,unknown,1.0000,unknown
f9d4fc,separate,0.7037,0.80,1.0000,0.3333,1.0000,unknown
869444,separate,0.7037,0.80,1.0000,0.3333,1.0000,unknown
f03d0c,separate,0.6413,0.80,0.6489,0.5000,1.0000,unknown
ada3c8,separate,0.6667,0.80,1.0000,0.2500,1.0000,unknown
8e53f3,merged-scored,0.9111,0.80,1.0000,0.8000,1.0000,unknown
2e96d9,merged-scored,1.0000,0.90,1.0000,unknown,1.0000,unknown
ee4c57,separate,0.1346,0.90,0.1923,unknown,0.0000,unknown
33c901,separate,0.7030,0.90,0.5758,unknown,1.0000,unknown
7c08fb,separate,0.6244,0.90,0.4634,unknown,1.0000,unknown
edd328,separate,0.4029,0.90,0.1471,unknown,1.0000,unknown
e1cf3e,separate,0.6157,0.80,0.8214,0.6667,0.0000,unknown
5fda3c,separate,0.5556,0.80,1.0000,0.0000,1.0000,unknown
61f601,separate,0.7541,0.90,0.6486,unknown,1.0000,unknown
7f4159,separate,0.0089,0.90,0.0127,unknown,0.0000,unknown
cbbc80,separate,0.3200,0.90,0.0286,unknown,1.0000,unknown
15f0f2,separate,0.5771,0.80,0.6744,0.3333,1.0000,unknown
b4fbb8,separate,0.7083,0.80,0.2500,1.0000,1.0000,unknown
faca64,separate,0.8957,0.90,0.8511,unknown,1.0000,unknown
2ed8f1,merged-scored,1.0000,0.80,1.0000,1.0000,1.0000,unknown
6baa13,separate,0.0089,0.90,0.0127,unknown,0.0000,unknown
fdd67f,merged-scored,1.0000,0.90,1.0000,unknown,1.0000,unknown
423670,merged-scored,1.0000,0.80,1.0000,1.0000,1.0000,unknown
4ba54b,separate,0.7009,0.80,0.9167,0.4000,1.0000,unknown
c35bc3,separate,0.0750,0.90,0.0000,unknown,0.2500,unknown
151b83,separate,0.5188,0.90,0.3125,unknown,1.0000,unknown
5d5c81,merged-scored,1.0000,0.90,1.0000,unknown,1.0000,unknown
f339d6,separate,0.5758,0.90,0.3939,unknown,1.0000,unknown
469007,separate,0.0173,0.80,0.0444,0.0000,0.0000,unknown
003aae,merged-scored,1.0000,0.90,1.0000,unknown,1.0000,unknown
48cea9,merged-scored,1.0000,0.90,1.0000,unknown,1.0000,unknown
41b26f,merged-scored,0.9369,0.80,0.8378,1.0000,1.0000,unknown
c9de59,merged-scored,1.0000,0.80,1.0000,1.0000,1.0000,unknown
5cc23f,separate,0.5556,0.80,1.0000,0.0000,1.0000,unknown
efdc1c,separate,0.5652,0.90,0.3788,unknown,1.0000,unknown
b47016,separate,0.5556,0.80,1.0000,0.0000,1.0000,unknown
52c3ea,separate,0.5295,0.90,0.3279,unknown,1.0000,unknown
2495c5,separate,0.5275,0.90,0.3250,unknown,1.0000,unknown
efdd3a,separate,0.0089,0.90,0.0127,unknown,0.0000,unknown
f02478,separate,0.6077,0.80,0.8485,0.2500,1.0000,unknown
3bd855,merged-scored,0.8889,0.80,1.0000,0.7500,1.0000,unknown
2e1496,merged-scored,0.9308,0.90,0.9011,unknown,1.0000,unknown
9b3148,merged-scored,1.0000,0.80,1.0000,1.0000,1.0000,unknown
956ee0,separate,0.5407,0.80,0.7333,0.2000,1.0000,unknown
8cac99,merged-scored,0.9054,0.90,0.8649,unknown,1.0000,unknown
