venue_name_raw,event_count,aliases,address,lat,lng,notes
"SILO",22,"Silo|Silo Brooklyn|SILO BK","90 Scott Ave, Brooklyn, NY 11237",40.71070375388476,-73.92285154506298,
"Outer Heaven",17,"Outer Heaven NYC","191 Chrystie St, New York, NY 10002",40.722209126528284,-73.99235040088257,
"San Antonios",15,"San Antonio's|San Antonios NYC","247 Eldridge St, New York, NY 10002",40.722967837912385,-73.98972434337806,
"Silence Please",12,"Silence Please NYC","132 Bowery Fl 2, New York, NY 10013",40.71915306069857,-73.99495194706726,
"SOBs",10,"S.O.B.'s|SOB's|Sounds of Brazil|SOBs NYC","204 Varick St, New York, NY 10014",40.72862371007002,-74.00521563357162,
"Apollo Studio",9,"Apollo SoundLight Studio|Apollo Sound Light Studio","321 Nassau Ave, Brooklyn, NY 11222",40.726555523352516,-73.93777185871778,
"Moondog Hifi",6,"Moondog Hi-Fi|Moondog|Moondog HiFi","119 Ingraham St, Brooklyn, NY 11237",40.7080269640942,-73.92920964522303,
"Nexo",6,"Nexo NYC","29 W 36th St, New York, NY 10018",40.75414260112349,-73.98506900804705,
"Sunset Park Rooftop",6,"Sunset Park Rooftop Brooklyn","14b 53rd St, Brooklyn, NY 11232",40.65036533076118,-74.02355467590442,
"Reforesters Laboratory",5,"Reforesters Lab|Reforesters","147 Metropolitan Ave, Brooklyn, NY 11249",40.716440568982186,-73.96203449124198,
"Superior Ingredients",5,"Superior|Superior Ingredients Brooklyn|SI","74 Wythe Ave, Brooklyn, NY 11249",40.72249775695999,-73.95781007405756,
"Brooklyn Army Terminal",4,"BAT|Brooklyn Army Terminal Annex","80 58th St, Brooklyn, NY 11220",40.644316234606755,-74.02497967736421,large complex — point is the 58th St entrance
"Delirium",4,"Delirium Brooklyn|Delirium BK","286 Meserole St, Brooklyn, NY 11206",40.71141376615494,-73.93540047853524,
"H0l0 Yard",4,"H0L0|H0l0|Holo|H0L0 Yard|Holo Yard","10-90 Wyckoff Ave, Ridgewood, NY 11385",40.69427707514905,-73.90241310289356,
"MAD Radio NYC",4,"MAD Radio|MAD RADIO NYC","395 Wythe Ave, Brooklyn, NY 11249",40.711345852002395,-73.9663571605627,
"Club Rawhide",3,"Rawhide|Rawhide Restaurant|Rawhide NYC","250 W 26th St, New York, NY 10001",40.743946556307776,-73.99928470473624,
"LoHi",3,"Lo-Hi|LoHi Brooklyn","314 Scholes St, Brooklyn, NY 11206",40.70959981743472,-73.93546150289286,
"Under the K Bridge",3,"Under the K Bridge Park|Under the 'K' Bridge Park|K Bridge Park","Meeker Ave at Van Dam St, Brooklyn, NY 11222",40.72480348898239,-73.93665857590199,park not a building — point is the Van Dam St entrance
"Miss Lilys 7A",1,"Miss Lily's 7A|Miss Lily's 7A Cafe|Miss Lilys","109 Avenue A, New York, NY 10009",40.72625663900233,-73.98374501454305,
"HK Hall",1,"HK Hall NYC","605 W 48th St, New York, NY 10036",40.76517061625951,-73.99606437590067,
"Magic Hour Rooftop Bar",1,"Magic Hour|Magic Hour Rooftop Bar & Lounge","485 7th Ave 18th Floor, New York, NY 10018",40.752654820907445,-73.98934788939619,
"Marquee Skydeck Edge",1,"Marquee Skydeck|Skydeck Edge","W 30th St 100th Floor, New York, NY 10001",40.754625926564664,-74.0014757480309,
"Code Astoria",1,"Code|Code Astoria NYC","20-30 Steinway St, Astoria, NY 11105",40.776176835677056,-73.90273774706526,
"Bric House",1,"BRIC|BRIC House|BRIC Arts Media","647 Fulton St, Brooklyn, NY 11217",40.688569824711955,-73.97910877221422,
"Jolene Sound Room Brooklyn",1,"Jolene|Jolene Sound Room","353 Bedford Ave, Brooklyn, NY 11211",40.71183269078577,-73.9629946200771,
"Lost in Paradise Rooftop",1,"Lost in Paradise","11-01 43rd Ave, Long Island City, NY 11101",40.7522310944063,-73.94732120289147,
"Laissez Faire",1,"Laissez Faire NYC","10 Theatre Alley, New York, NY 10038",40.71153945637196,-74.00687836056265,
"High Bar New York",1,"High Bar|High Bar NYC","346 W 40th St, New York, NY 10018",40.75699694169694,-73.99300871823093,
"Dreamsong Music Lab",1,"Dreamsong|Dreamsong Music","743 Dekalb Ave, Brooklyn, NY 11216",40.69230110323587,-73.94649470104906,
"Althea's Rooftop",1,"Althea's|Althea's Hideaway Lounge|Altheas Rooftop","634 W 52nd St, New York, NY 10019",40.767835781274634,-73.9957652605608,
"Boyfriend co-op",1,"BOYFRIEND|Boyfriend co-op cafe + bar|Boyfriend cafe","1157 Myrtle Ave, Brooklyn, NY 11206",40.69733421911674,-73.93459820104881,
"ErF Studios",1,,,,,could not confirm location
"Locust Grove",1,,,,,could not confirm location
